,is_weekend,is_holiday,is_summer,is_monsoon,lag_1,lag_2,lag_7,rolling_mean_3,rolling_mean_7,rolling_std_7,roll_mean_7,roll_mean_14,day_of_week,month,day
21,0,0,0,0,6758.0,6477.5,6696.0,6611.0,7168.142857142857,1013.5770285760933,7168.142857142857,7140.5,4,1,22
22,1,0,0,0,6543.0,6758.0,8670.0,6592.833333333333,7146.285714285715,1027.0159791495803,7146.285714285715,7134.535714285715,5,1,23
23,1,0,0,0,8368.0,6543.0,8609.0,7223.0,7103.142857142857,956.2445953784398,7103.142857142857,7173.535714285715,6,1,24
24,0,0,0,0,8525.0,8368.0,6369.0,7812.0,7091.142857142857,934.4772475509911,7091.142857142857,7097.464285714285,0,1,25
26,0,0,0,0,6410.0,8525.0,6597.5,7767.666666666667,7097.0,929.3108109418148,7097.0,7107.571428571428,1,1,26
25,0,1,0,0,10252.5,6410.0,6477.5,8395.833333333334,7619.142857142857,1470.8817852534833,7619.142857142857,7382.535714285715,1,1,26
27,0,0,0,0,10252.5,10252.5,6758.0,8971.666666666666,8158.428571428572,1662.1460632911542,8158.428571428572,7655.714285714285,2,1,27
28,0,0,0,0,6522.0,10252.5,6543.0,9009.0,8124.714285714285,1697.307619367185,8124.714285714285,7646.428571428572,3,1,28
29,0,0,0,0,6442.0,6522.0,8368.0,7738.833333333333,8110.285714285715,1713.348034724771,8110.285714285715,7628.285714285715,4,1,29
30,1,0,0,0,6589.0,6442.0,8525.0,6517.666666666667,7856.142857142857,1798.5708380611,7856.142857142857,7479.642857142857,5,1,30
31,1,0,0,0,8234.0,6589.0,6410.0,7088.333333333333,7814.571428571428,1783.8372129712257,7814.571428571428,7452.857142857143,6,1,31
32,0,0,0,0,8524.5,8234.0,10252.5,7782.5,8116.642857142857,1682.5030389840229,8116.642857142857,7606.821428571428,0,2,1
33,0,0,0,0,6637.0,8524.5,10252.5,7798.5,7600.142857142857,1457.4492762553152,7600.142857142857,7609.642857142857,1,2,2
34,0,0,0,0,6643.5,6637.0,6522.0,7268.333333333333,7084.571428571428,891.1060743336271,7084.571428571428,7621.5,2,2,3
35,0,0,0,0,6323.5,6643.5,6442.0,6534.666666666667,7056.214285714285,914.8346324674789,7056.214285714285,7590.464285714285,3,2,4
36,0,1,0,0,7237.5,6323.5,6589.0,6734.833333333333,7169.857142857143,874.3318265150507,7169.857142857143,7640.071428571428,3,2,4
37,0,0,0,0,7237.5,7237.5,8234.0,6932.833333333333,7262.5,836.0461012009654,7262.5,7559.321428571428,4,2,5
38,1,0,0,0,5931.0,7237.5,8524.5,6802.0,6933.5,843.1322059242368,6933.5,7374.035714285715,5,2,6
39,1,0,0,0,8880.0,5931.0,6637.0,7349.5,6984.285714285715,957.8411862596224,6984.285714285715,7550.464285714285,6,2,7
40,0,0,0,0,8000.0,8880.0,6643.5,7603.666666666667,7179.0,1012.4583118989813,7179.0,7389.571428571428,0,2,8
41,0,0,0,0,6176.0,8000.0,6323.5,7685.333333333333,7112.214285714285,1067.58742253827,7112.214285714285,7098.392857142857,1,2,9
43,0,0,0,0,6569.0,6176.0,7237.5,6915.0,7147.285714285715,1041.0618720463126,7147.285714285715,7101.75,2,2,10
42,0,1,0,0,7123.5,6569.0,7237.5,6622.833333333333,7131.0,1040.3068057068558,7131.0,7150.428571428572,2,2,10
44,0,0,0,0,7123.5,7123.5,5931.0,6938.666666666667,7114.714285714285,1039.2534923821875,7114.714285714285,7188.607142857143,3,2,11
45,0,0,0,0,6696.0,7123.5,8880.0,6981.0,7224.0,928.3341262713554,7224.0,7078.75,4,2,12
46,1,0,0,0,7612.0,6696.0,8000.0,7143.833333333333,7042.857142857143,625.7454697056504,7042.857142857143,7013.571428571428,5,2,13
47,1,0,0,0,8426.5,7612.0,6176.0,7578.166666666667,7103.785714285715,744.0545934911227,7103.785714285715,7141.392857142857,6,2,14
