date,daily_sales,avg_temp,is_holiday,is_weekend,is_summer,is_monsoon,lag_1,lag_2,lag_7,lag_14,lag_30,roll_mean_7,roll_mean_14,roll_mean_30,roll_std_7,roll_std_14,day_of_week,day_name,month,quarter,day_of_year,week_of_year,year
2021-01-01,6676,21.268367346938778,0,0,0,0,,,,,,,,,,,4,Friday,1,1,1,53,2021
2021-01-02,8096,21.535858585858588,0,1,0,0,6676.0,,,,,,,,,,5,Saturday,1,1,2,53,2021
2021-01-03,8393,21.736138613861385,0,1,0,0,8096.0,6676.0,,,,,,,,,6,Sunday,1,1,3,53,2021
2021-01-04,6375,22.105154639175257,0,0,0,0,8393.0,8096.0,,,,,,,,,0,Monday,1,1,4,1,2021
2021-01-05,6254,21.58388888888889,0,0,0,0,6375.0,8393.0,,,,,,,,,1,Tuesday,1,1,5,1,2021
2021-01-06,6412,21.88125,0,0,0,0,6254.0,6375.0,,,,,,,,,2,Wednesday,1,1,6,1,2021
2021-01-07,6182,21.45421052631579,0,0,0,0,6412.0,6254.0,,,,,,,,,3,Thursday,1,1,7,1,2021
2021-01-08,6626,21.440721649484537,0,0,0,0,6182.0,6412.0,6676.0,,,6912.571428571428,,,926.9253578620122,,4,Friday,1,1,8,1,2021
2021-01-09,7822,21.218817204301075,0,1,0,0,6626.0,6182.0,8096.0,,,6905.428571428572,,,929.2419593666762,,5,Saturday,1,1,9,1,2021
2021-01-10,9590,21.34953271028037,0,1,0,0,7822.0,6626.0,8393.0,,,6866.285714285715,,,874.9153700569589,,6,Sunday,1,1,10,1,2021
2021-01-11,6268,21.3,0,0,0,0,9590.0,7822.0,6375.0,,,7037.285714285715,,,1256.711146111908,,0,Monday,1,1,11,2,2021
2021-01-12,6403,20.86,0,0,0,0,6268.0,9590.0,6254.0,,,7022.0,,,1266.7201743084383,,1,Tuesday,1,1,12,2,2021
2021-01-13,6428,21.2921875,0,0,0,0,6403.0,6268.0,6412.0,,,7043.285714285715,,,1252.839802779498,,2,Wednesday,1,1,13,2,2021
2021-01-14,6652,20.98888888888889,0,0,0,0,6428.0,6403.0,6182.0,,,7045.571428571428,,,1251.510002243005,,3,Thursday,1,1,14,2,2021
2021-01-15,6696,21.31938775510204,0,0,0,0,6652.0,6428.0,6626.0,6676.0,,7112.714285714285,7012.642857142857,,1209.3558497930094,1040.3621120436019,4,Friday,1,1,15,2,2021
2021-01-16,8670,20.879797979797974,0,1,0,0,6696.0,6652.0,7822.0,8096.0,,7122.714285714285,7014.071428571428,,1204.9418677935898,1039.877911789923,5,Saturday,1,1,16,2,2021
2021-01-17,8609,21.2469387755102,0,1,0,0,8670.0,6696.0,9590.0,8393.0,,7243.857142857143,7055.071428571428,,1323.7366843612856,1095.6380272759734,6,Sunday,1,1,17,2,2021
2021-01-18,6369,21.38659793814433,0,0,0,0,8609.0,8670.0,6268.0,6375.0,,7103.714285714285,7070.5,,1059.5141519089013,1117.2357199114936,0,Monday,1,1,18,3,2021
2021-01-19,6598,21.12908163265306,0,0,0,0,6369.0,8609.0,6403.0,6254.0,,7118.142857142857,7070.071428571428,,1046.8485131688394,1117.5241497501183,1,Tuesday,1,1,19,3,2021
2021-01-20,6478,21.163541666666667,0,0,0,0,6598.0,6369.0,6428.0,6412.0,,7146.0,7094.642857142857,,1027.0538771976217,1101.8728536969616,2,Wednesday,1,1,20,3,2021
